otu	phylum
OTU1	Actinobacteria
OTU2	Crenarchaeota
OTU3	Proteobacteria
OTU4	Firmicutes
OTU5	Proteobacteria
OTU6	Proteobacteria
OTU7	Actinobacteria
OTU8	AD3
OTU9	Proteobacteria
OTU10	Actinobacteria
OTU11	Chloroflexi
OTU12	Firmicutes
OTU13	Actinobacteria
OTU14	Proteobacteria
OTU15	Chloroflexi
OTU16	Actinobacteria
OTU17	Actinobacteria
OTU18	Proteobacteria
OTU19	Acidobacteria
OTU20	Chloroflexi
OTU21	Proteobacteria
OTU22	Gemmatimonadetes
OTU23	Actinobacteria
OTU24	Actinobacteria
OTU25	Actinobacteria
OTU26	Actinobacteria
OTU27	Actinobacteria
OTU28	Actinobacteria
OTU29	Actinobacteria
OTU30	Proteobacteria
OTU31	Firmicutes
OTU32	Gemmatimonadetes
OTU33	Actinobacteria
OTU34	AD3
OTU35	Actinobacteria
OTU36	Actinobacteria
OTU37	Actinobacteria
OTU38	Proteobacteria
OTU39	Proteobacteria
OTU40	Proteobacteria
OTU41	Chloroflexi
OTU42	Proteobacteria
OTU43	Actinobacteria
OTU44	Actinobacteria
OTU45	Proteobacteria
OTU46	Proteobacteria
OTU47	Proteobacteria
OTU48	Proteobacteria
OTU49	Proteobacteria
OTU50	Chloroflexi
OTU51	AD3
OTU52	Actinobacteria
OTU53	Actinobacteria
OTU54	Actinobacteria
OTU55	Actinobacteria
OTU56	Actinobacteria
OTU57	Firmicutes
OTU58	Actinobacteria
OTU59	Actinobacteria
OTU60	Gemmatimonadetes
OTU61	Actinobacteria
OTU62	Proteobacteria
OTU63	Actinobacteria
OTU64	Gemmatimonadetes
OTU65	Acidobacteria
OTU66	Proteobacteria
OTU67	Proteobacteria
OTU68	Actinobacteria
OTU69	Verrucomicrobia
OTU70	Chloroflexi
OTU71	Gemmatimonadetes
OTU72	Proteobacteria
OTU73	Chloroflexi
OTU74	Actinobacteria
OTU75	Actinobacteria
OTU76	Actinobacteria
OTU77	Acidobacteria
OTU78	Acidobacteria
OTU79	Proteobacteria
OTU80	Actinobacteria
OTU81	Gemmatimonadetes
OTU82	Gemmatimonadetes
OTU83	Proteobacteria
OTU84	Proteobacteria
OTU85	Actinobacteria
OTU86	Proteobacteria
OTU87	Acidobacteria
OTU88	Actinobacteria
OTU89	Proteobacteria
OTU90	Proteobacteria
OTU91	Actinobacteria
OTU92	Acidobacteria
OTU93	Actinobacteria
OTU94	AD3
OTU95	Actinobacteria
OTU96	Proteobacteria
OTU97	Proteobacteria
OTU98	Actinobacteria
OTU99	Actinobacteria
OTU100	Proteobacteria
OTU101	Actinobacteria
OTU102	Proteobacteria
OTU103	Chloroflexi
OTU104	Chloroflexi
OTU105	Chloroflexi
OTU106	Proteobacteria
OTU107	Chloroflexi
OTU108	Proteobacteria
OTU109	Chloroflexi
OTU110	Proteobacteria
OTU111	Crenarchaeota
OTU112	Verrucomicrobia
OTU113	Proteobacteria
OTU114	Actinobacteria
OTU115	Proteobacteria
OTU116	Actinobacteria
OTU117	Actinobacteria
OTU118	Proteobacteria
OTU119	Nitrospirae
OTU120	Proteobacteria
OTU121	Actinobacteria
OTU122	Proteobacteria
OTU123	Actinobacteria
OTU124	Proteobacteria
OTU125	Proteobacteria
OTU126	Gemmatimonadetes
OTU127	Actinobacteria
OTU128	Actinobacteria
OTU129	AD3
OTU130	Chloroflexi
OTU131	Proteobacteria
OTU132	Acidobacteria
OTU133	Acidobacteria
OTU134	Acidobacteria
OTU135	Proteobacteria
OTU136	Proteobacteria
OTU137	Proteobacteria
OTU138	Proteobacteria
OTU139	Proteobacteria
OTU140	Proteobacteria
OTU141	Actinobacteria
OTU142	Proteobacteria
OTU143	Actinobacteria
OTU144	Firmicutes
OTU145	Proteobacteria
OTU146	Proteobacteria
OTU147	Actinobacteria
OTU148	Proteobacteria
OTU149	Proteobacteria
OTU150	Actinobacteria
OTU151	Actinobacteria
OTU152	Proteobacteria
OTU153	Proteobacteria
OTU154	Actinobacteria
OTU155	Proteobacteria
OTU156	Firmicutes
OTU157	Chloroflexi
OTU158	Proteobacteria
OTU159	AD3
OTU160	Proteobacteria
OTU161	Proteobacteria
OTU162	Actinobacteria
OTU163	Proteobacteria
OTU164	Actinobacteria
OTU165	Actinobacteria
OTU166	Firmicutes
OTU167	Chloroflexi
OTU168	AD3
OTU169	Proteobacteria
OTU170	Acidobacteria
OTU171	Acidobacteria
OTU172	Acidobacteria
OTU173	Chloroflexi
OTU174	Chloroflexi
OTU175	Acidobacteria
OTU176	Proteobacteria
OTU177	Proteobacteria
OTU178	Proteobacteria
OTU179	Actinobacteria
OTU180	Acidobacteria
OTU181	Firmicutes
OTU182	Actinobacteria
OTU183	Crenarchaeota
OTU184	Chloroflexi
OTU185	AD3
OTU186	Chloroflexi
OTU187	Actinobacteria
OTU188	Chloroflexi
OTU189	Actinobacteria
OTU190	Actinobacteria
OTU191	Proteobacteria
OTU192	Actinobacteria
OTU193	Actinobacteria
OTU194	Crenarchaeota
OTU195	Chloroflexi
OTU196	Actinobacteria
OTU197	Actinobacteria
OTU198	Proteobacteria
OTU199	Chloroflexi
OTU200	Proteobacteria
OTU201	Actinobacteria
OTU202	Actinobacteria
OTU203	Proteobacteria
OTU204	Actinobacteria
OTU205	Proteobacteria
OTU206	Actinobacteria
OTU207	Actinobacteria
OTU208	Acidobacteria
OTU209	Chloroflexi
OTU210	Actinobacteria
OTU211	Proteobacteria
OTU212	Firmicutes
OTU213	Proteobacteria
OTU214	Proteobacteria
OTU215	Proteobacteria
OTU216	Proteobacteria
OTU217	Proteobacteria
OTU218	Actinobacteria
OTU219	Firmicutes
OTU220	Verrucomicrobia
OTU221	Proteobacteria
OTU222	Proteobacteria
OTU223	Chloroflexi
OTU224	Proteobacteria
OTU225	Actinobacteria
OTU226	Proteobacteria
OTU227	Actinobacteria
OTU228	Proteobacteria
OTU229	Chloroflexi
OTU230	Proteobacteria
OTU231	Actinobacteria
OTU232	Bacteroidetes
OTU233	Proteobacteria
OTU234	Actinobacteria
OTU235	Actinobacteria
OTU236	Actinobacteria
OTU237	Actinobacteria
OTU238	Verrucomicrobia
OTU239	Nitrospirae
OTU240	Actinobacteria
OTU241	Acidobacteria
OTU242	Actinobacteria
OTU243	AD3
OTU244	Proteobacteria
OTU245	Chloroflexi
OTU246	Acidobacteria
OTU247	Proteobacteria
OTU248	Actinobacteria
OTU249	Chloroflexi
OTU250	Actinobacteria
OTU251	Actinobacteria
OTU252	Bacteroidetes
OTU253	Firmicutes
OTU254	Proteobacteria
OTU255	Crenarchaeota
OTU256	Proteobacteria
OTU257	Firmicutes
OTU258	Actinobacteria
OTU259	Actinobacteria
OTU260	Proteobacteria
OTU261	Crenarchaeota
OTU262	Acidobacteria
OTU263	Proteobacteria
OTU264	Proteobacteria
OTU265	Crenarchaeota
OTU266	Bacteroidetes
OTU267	Actinobacteria
OTU268	Bacteroidetes
OTU269	Acidobacteria
OTU270	Actinobacteria
OTU271	Proteobacteria
OTU272	Proteobacteria
OTU273	Actinobacteria
OTU274	Actinobacteria
OTU275	Chloroflexi
OTU276	Gemmatimonadetes
OTU277	Chloroflexi
OTU278	Proteobacteria
OTU279	Proteobacteria
OTU280	Proteobacteria
OTU281	Proteobacteria
OTU282	Bacteroidetes
OTU283	Proteobacteria
OTU284	Actinobacteria
OTU285	Gemmatimonadetes
OTU286	Gemmatimonadetes
OTU287	Actinobacteria
OTU288	Acidobacteria
OTU289	Actinobacteria
OTU290	Firmicutes
OTU291	Chloroflexi
OTU292	Chloroflexi
OTU293	Proteobacteria
OTU294	Proteobacteria
OTU295	Actinobacteria
OTU296	Proteobacteria
OTU297	Chloroflexi
OTU298	Chloroflexi
OTU299	Bacteroidetes
OTU300	Chloroflexi
OTU301	Proteobacteria
OTU302	Proteobacteria
OTU303	Proteobacteria
OTU304	Actinobacteria
OTU305	Proteobacteria
OTU306	Chloroflexi
OTU307	Chloroflexi
OTU308	Gemmatimonadetes
OTU309	Crenarchaeota
OTU310	Gemmatimonadetes
OTU311	Proteobacteria
OTU312	Gemmatimonadetes
OTU313	Proteobacteria
OTU314	Acidobacteria
OTU315	Planctomycetes
OTU316	Chloroflexi
OTU317	Actinobacteria
OTU318	Acidobacteria
OTU319	Actinobacteria
OTU320	Proteobacteria
OTU321	Actinobacteria
OTU322	Planctomycetes
OTU323	Proteobacteria
OTU324	Proteobacteria
OTU325	AD3
OTU326	Actinobacteria
OTU327	Proteobacteria
OTU328	Actinobacteria
OTU329	Gemmatimonadetes
OTU330	Gemmatimonadetes
OTU331	Proteobacteria
OTU332	Actinobacteria
OTU333	Acidobacteria
OTU334	Acidobacteria
OTU335	Proteobacteria
OTU336	Firmicutes
OTU337	Actinobacteria
OTU338	Actinobacteria
OTU339	Planctomycetes
OTU340	Proteobacteria
OTU341	Proteobacteria
OTU342	Proteobacteria
OTU343	Proteobacteria
OTU344	Proteobacteria
OTU345	Actinobacteria
OTU346	Actinobacteria
OTU347	Firmicutes
OTU348	Proteobacteria
OTU349	Gemmatimonadetes
OTU350	Nitrospirae
OTU351	Actinobacteria
OTU352	Acidobacteria
OTU353	Actinobacteria
OTU354	Gemmatimonadetes
OTU355	AD3
OTU356	Proteobacteria
OTU357	Actinobacteria
OTU358	Proteobacteria
OTU359	Actinobacteria
OTU360	Actinobacteria
OTU361	Proteobacteria
OTU362	Actinobacteria
OTU363	Actinobacteria
OTU364	Bacteroidetes
OTU365	Chloroflexi
OTU366	Proteobacteria
OTU367	Actinobacteria
OTU368	Proteobacteria
OTU369	Proteobacteria
OTU370	Acidobacteria
OTU371	Firmicutes
OTU372	Proteobacteria
OTU373	Proteobacteria
OTU374	Proteobacteria
OTU375	Acidobacteria
OTU376	Chloroflexi
OTU377	Acidobacteria
OTU378	Actinobacteria
OTU379	Actinobacteria
OTU380	Acidobacteria
OTU381	Verrucomicrobia
OTU382	Proteobacteria
OTU383	Armatimonadetes
OTU384	Actinobacteria
OTU385	Crenarchaeota
OTU386	Proteobacteria
OTU387	Actinobacteria
OTU388	Chloroflexi
OTU389	Actinobacteria
OTU390	Acidobacteria
OTU391	Proteobacteria
OTU392	Actinobacteria
OTU393	Chloroflexi
OTU394	Acidobacteria
OTU395	Proteobacteria
OTU396	Gemmatimonadetes
OTU397	Actinobacteria
OTU398	Proteobacteria
OTU399	Proteobacteria
OTU400	Proteobacteria
OTU401	Gemmatimonadetes
OTU402	Chloroflexi
OTU403	Proteobacteria
OTU404	Proteobacteria
OTU405	Proteobacteria
OTU406	Gemmatimonadetes
OTU407	Actinobacteria
OTU408	Actinobacteria
OTU409	Gemmatimonadetes
OTU410	Actinobacteria
OTU411	Actinobacteria
OTU412	Proteobacteria
OTU413	Planctomycetes
OTU414	Proteobacteria
OTU415	Proteobacteria
OTU416	Planctomycetes
OTU417	Actinobacteria
OTU418	Proteobacteria
OTU419	
OTU420	Actinobacteria
OTU421	Proteobacteria
OTU422	Actinobacteria
OTU423	Proteobacteria
OTU424	Proteobacteria
OTU425	Gemmatimonadetes
OTU426	Planctomycetes
OTU427	Crenarchaeota
OTU428	Proteobacteria
OTU429	Firmicutes
OTU430	Acidobacteria
OTU431	Gemmatimonadetes
OTU432	Proteobacteria
OTU433	Proteobacteria
OTU434	Proteobacteria
OTU435	Actinobacteria
OTU436	Actinobacteria
OTU437	Acidobacteria
OTU438	Actinobacteria
OTU439	Actinobacteria
OTU440	Actinobacteria
OTU441	Firmicutes
OTU442	Proteobacteria
OTU443	Actinobacteria
OTU444	Chloroflexi
OTU445	Gemmatimonadetes
OTU446	Actinobacteria
OTU447	Acidobacteria
OTU448	Acidobacteria
OTU449	Proteobacteria
OTU450	Proteobacteria
OTU451	TM7
OTU452	Acidobacteria
OTU453	Actinobacteria
OTU454	Proteobacteria
OTU455	Proteobacteria
OTU456	AD3
OTU457	Actinobacteria
OTU458	Actinobacteria
OTU459	Actinobacteria
OTU460	Proteobacteria
OTU461	Acidobacteria
OTU462	
OTU463	Proteobacteria
OTU464	Acidobacteria
OTU465	Proteobacteria
